@relation atributos

@attribute largura numeric
@attribute altura numeric
@attribute posicaoX-relativa numeric
@attribute posicaoY-relativa numeric
@attribute entropia numeric
@attribute segundo-momento-ang numeric
@attribute correlacao numeric
@attribute energia numeric
@attribute media numeric
@attribute variancia numeric
@attribute desvio-padrao numeric
@attribute contraste numeric
@attribute homogeneidade numeric
@attribute dissimilaridade numeric
@attribute media-tons-cinza numeric
@attribute class {atencao,normal}

@data
40,25,3,7,0.694051,0.28466,0.7779,0.533415,14.553965,0.457429,0.676261,0.207468,0.896622,0.206934,120,normal
29,23,4,9,1.249428,0.080533,0.779232,0.283583,11.420224,1.811352,1.345785,0.815802,0.709961,0.636889,96,normal
11,11,1,7,0.572124,0.382437,0.779649,0.618225,14.214091,0.364728,0.603351,0.187273,0.906364,0.187273,118,normal
21,16,3,0,1.235717,0.073857,0.780731,0.271516,13.508459,1.792469,1.338373,0.790181,0.723927,0.609794,111,normal
38,40,5,8,1.238579,0.077721,0.780814,0.278476,12.849977,1.730463,1.315448,0.758448,0.729209,0.593715,107,normal
60,28,6,9,0.721151,0.290275,0.781977,0.538502,15.424833,0.514909,0.717421,0.22625,0.888545,0.223745,128,normal
11,13,9,6,0.338682,0.568419,0.783557,0.753912,12.232867,0.177349,0.420473,0.084411,0.957794,0.084411,103,normal
9,14,6,8,0.601984,0.340938,0.78385,0.583694,10.49068,0.448754,0.669027,0.218693,0.890654,0.218693,88,normal
23,74,4,7,0.446942,0.500401,0.784038,0.707324,14.765791,0.23443,0.484171,0.101592,0.949204,0.101592,122,normal
29,22,8,8,1.311937,0.067517,0.784632,0.259702,16.316127,2.105325,1.45069,0.920565,0.691294,0.690512,134,normal
22,30,4,9,0.833271,0.203445,0.784743,0.450358,15.781202,0.707452,0.841009,0.306642,0.849416,0.302536,130,normal
15,18,3,8,0.441881,0.40472,0.784887,0.635882,12.490208,0.248872,0.498869,0.110901,0.944549,0.110901,104,normal
66,38,4,0,0.295771,0.700079,0.78538,0.836681,13.906859,0.132592,0.364115,0.057013,0.971494,0.057013,115,normal
45,62,9,6,0.641692,0.337915,0.788385,0.581143,16.730218,0.405636,0.636889,0.172139,0.913931,0.172139,138,normal
14,17,2,8,0.839585,0.199383,0.788558,0.446175,13.321398,0.743482,0.862175,0.318974,0.863999,0.283745,111,normal
28,52,5,9,0.483957,0.393836,0.789017,0.627436,13.568296,0.272108,0.521615,0.115797,0.942101,0.115797,112,normal
